#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
96,Mozambique,"62,703",,698,,"46,594","15,411",,"1,969",22,"442,472","13,893","31,847,948"
97,El Salvador,"60,800",,"1,923",+8,"56,807","2,070",56,"9,341",295,"776,696","119,334","6,508,610"
98,Singapore,"60,052",+6,29,,"59,905",118,1,"10,210",5,"7,805,264","1,327,020","5,881,799"
99,Luxembourg,"56,677",,663,,"53,240","2,774",21,"89,550","1,048","2,185,583","3,453,218","632,912"
100,Cuba,"56,566",,350,,"51,709","4,507",69,"4,996",31,"2,540,022","224,346","11,321,871"
101,Afghanistan,"55,894",+26,"2,451",,"49,409","4,034","1,084","1,414",62,"312,655","7,911","39,523,308"
102,Uganda,"40,479",,334,,"15,065","25,080",,866,7,"892,878","19,113","46,716,554"
103,Namibia,"40,187",,439,,"37,578","2,170",23,"15,624",171,"313,949","122,054","2,572,205"
104,Cyprus,"37,230",,233,,"2,057","34,940",25,"30,683",192,"2,308,669","1,902,692","1,213,370"
105,Cameroon,"36,794",,566,,"32,936","3,292",53,"1,363",21,"905,000","33,526","26,993,728"
106,Zimbabwe,"36,289",,"1,487",,"33,872",930,25,"2,418",99,"353,701","23,564","15,010,363"
107,Senegal,"36,039",+80,930,+5,"31,184","3,925",38,"2,115",55,"404,315","23,724","17,042,754"
108,Ivory Coast,"35,331",,204,,"32,800","2,327",,"1,317",8,"443,563","16,538","26,821,029"
109,Botswana,"32,912",,413,,"27,765","4,734",1,"13,806",173,"846,715","355,182","2,383,889"
110,Malawi,"32,469",,"1,070",,"23,105","8,294",69,"1,668",55,"203,890","10,475","19,464,823"
111,Australia,"29,061",+15,909,,"26,204","1,948",,"1,131",35,"14,690,475","571,574","25,701,798"
112,Sudan,"28,766",,"1,915",,"23,268","3,583",,646,43,,,"44,543,744"
113,Jamaica,"26,904",,454,,"14,447","12,003",31,"9,059",153,"229,687","77,335","2,970,018"
114,DRC,"26,627",,712,,"22,432","3,483",,291,8,,,"91,401,404"
115,Thailand,"26,501",+60,85,,"25,851",565,1,379,1,"1,588,637","22,721","69,920,015"
116,Malta,"24,847",+248,335,+1,"21,477","3,035",18,"56,171",757,"733,474","1,658,134","442,349"
117,Angola,"21,108",,515,,"19,657",936,10,629,15,"402,283","11,988","33,556,884"
